id,codigo_curriculo,codigo_ingresso,periodo_ingresso,forma_ingresso,codigo_evasao,forma_evasao,periodo_evasao,evadiu_periodo,forma_saida,acao_afirmativa,tipo_reserva_vagas,forma_reserva_vagas,sexo,codigo_cor,nome_cor,idade_ingresso,idade_evasao,tipo_ensino_medio,ensino_medio,apv_media_geral
O044669,1990,9,1996.1,TRANSFERENCIA EX-OFFICIO,4,CANCELAMENTO POR ABANDONO,1999.1,7,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,NA
V192234,1990,1,1996.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1998.1,4,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,21,NA,Não informado,626
H215169,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.2,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,22,26,NA,Não informado,623
B000421,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,620
V314686,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,620
B107782,1990,1,1996.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1998.2,5,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,20,NA,Não informado,618
C101746,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,21,25,NA,Não informado,617
N061491,1990,1,1996.2,VESTIBULAR,2,TRANSFERIDO PARA OUTRA IES,1998.1,4,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,17,19,NA,Não informado,617
I201098,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,610
U200786,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,606
B045032,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.2,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,19,23,NA,Não informado,601
Q053023,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.2,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,22,NA,Não informado,598
I066265,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,596
C275952,1990,1,1996.2,VESTIBULAR,1,GRADUADO,2000.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,21,25,NA,Não informado,594
Z025672,1990,1,1997.1,VESTIBULAR,1,GRADUADO,2000.2,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,22,NA,Não informado,610
R145406,1990,1,1997.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1998.1,2,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,21,22,NA,Não informado,604
Y366795,1990,1,1997.2,VESTIBULAR,1,GRADUADO,2000.1,6,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,24,27,NA,Não informado,602
J286719,1990,1,1997.2,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1999.1,4,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,24,26,NA,Não informado,592
H135764,1990,1,1997.2,VESTIBULAR,1,GRADUADO,2000.1,6,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,22,25,NA,Não informado,591
R178956,1990,1,1997.2,VESTIBULAR,1,GRADUADO,2001.1,8,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,21,25,NA,Não informado,586
A268428,1990,1,1998.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1999.2,4,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,19,NA,Não informado,715
E378753,1990,1,1983.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1985.2,6,Evadido,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,21,23,NA,Não informado,NA
E311628,1990,1,1983.1,VESTIBULAR,1,GRADUADO,1988.1,11,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,23,NA,Não informado,586
L160263,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1996.1,13,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,24,NA,Não informado,634
M205174,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1995.1,11,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,24,NA,Não informado,628
M319415,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,19,23,NA,Não informado,769
I212962,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.2,10,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,22,NA,Não informado,668
F035706,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1996.2,14,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,22,28,NA,Não informado,679
O295879,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.1,9,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,614
X257843,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1997.2,16,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,25,NA,Não informado,632
M052813,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1997.1,15,Graduado,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,23,30,NA,Não informado,633
I089349,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1995.1,11,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,23,NA,Não informado,631
T154961,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.2,10,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,19,23,NA,Não informado,644
B125193,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1994.2,10,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,0,0,NA,Não informado,677
D372071,1990,1,1990.1,VESTIBULAR,4,CANCELAMENTO POR ABANDONO,1996.1,13,Evadido,Não,1,Sem Reserva De Vagas,Masculino,0,Não declarada,18,24,NA,Não informado,738
N106121,1990,1,1990.1,VESTIBULAR,1,GRADUADO,1994.1,9,Graduado,Não,1,Sem Reserva De Vagas,Feminino,0,Não declarada,18,22,NA,Não informado,678
